"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Whole Blood (Peripheral Venous Blood) [µmol/l]"
9,87,1.401252
9,90,1.475098
9,93,1.545895
9,96,1.613495
9,99,1.677789
9,102,1.738699
9,105,1.796175
9,108,1.85019
9,111,1.900735
9,114,1.94782
9,117,1.991464
9,120,2.031701
9,135,2.183583
9,150,2.260125
9,165,2.27399
9,180,2.241127
9,195,2.178633
9,210,2.10182
9,225,2.022005
9,240,1.945949
9,255,1.876689
9,270,1.814865
9,285,1.759892
9,300,1.710731
9,315,1.666299
9,330,1.625648
9,345,1.588012
9,360,1.552795
9,375,1.519546
9,390,1.487926
9,405,1.457677
9,420,1.428607
9,435,1.400566
9,450,1.37344
9,465,1.347137
9,480,1.321587
9,495,1.296729
9,510,1.272515
9,525,1.248906
9,540,1.225866
9,555,1.203367
9,570,1.181383
9,585,1.159891
9,600,1.138872
9,615,1.118307
9,630,1.098182
9,645,1.07848
9,660,1.05919
9,675,1.040298
9,690,1.021793
9,705,1.003665
9,720,0.9859032
9,735,0.9684985
9,750,0.9514419
9,765,0.9347249
9,780,0.9183396
9,795,0.9022779
9,810,0.8865327
9,825,0.8710966
9,840,0.8559628
9,855,0.8411246
9,870,0.8265755
9,885,0.8123093
9,900,0.7983198
9,915,0.7846011
9,930,0.7711475
9,945,0.7579533
9,960,0.745013
9,975,0.7323214
9,990,0.7198731
9,1005,0.7076632
9,1020,0.6956866
9,1035,0.6839385
9,1050,0.6724141
9,1065,0.6611087
9,1080,0.6500179
9,1095,0.6391371
9,1110,0.6284621
9,1125,0.6179886
9,1140,0.6077123
9,1155,0.5976293
9,1170,0.5877355
9,1185,0.5780271
9,1200,0.5685002
9,1215,0.5591511
9,1230,0.5499761
9,1245,0.5409717
9,1260,0.5321343
9,1275,0.5234605
9,1290,0.5149469
9,1305,0.5065904
9,1320,0.4983875
9,1335,0.4903353
9,1350,0.4824306
9,1365,0.4746703
9,1380,0.4670516
9,1395,0.4595716
9,1410,0.4522274
9,1425,0.4450162
9,1440,0.4379354
10,0,0
10,3,1.28678E-06
10,6,9.567869E-05
10,9,0.001146466
10,12,0.00581222
10,15,0.01814449
10,18,0.04208248
10,21,0.08029237
10,24,0.1337445
10,27,0.2018095
10,30,0.2826172
10,33,0.3734922
10,36,0.4713702
10,39,0.5731313
10,42,0.6758316
10,45,0.7768478
10,48,0.8739607
10,51,0.9653731
10,54,1.049707
10,57,1.125973
10,60,1.193535
10,63,1.252066
10,66,1.301507
10,69,1.342023
10,72,1.373965
10,75,1.397831
10,78,1.414231
10,81,1.423852
10,84,1.427427
10,87,1.425712
10,90,1.419455
10,93,1.409384
10,96,1.396187
10,99,1.380499
10,102,1.362897
10,105,1.343897
10,108,1.323949
10,111,1.303438
10,114,1.282692
10,117,1.26198
10,120,1.241522
10,135,1.147803
10,150,1.07316
10,165,1.016625
10,180,0.9739834
10,195,0.9411011
10,210,0.914831
10,225,0.8930127
10,240,0.8742309
10,255,0.8575757
10,270,0.8424626
10,285,0.828511
10,300,0.8154675
10,315,0.8031583
10,330,0.7914605
10,345,0.7802836
10,360,0.7695595
10,375,0.7592351
10,390,0.7492682
10,405,0.7396244
10,420,0.7302754
10,435,0.7211976
10,450,0.712371
10,465,0.7037784
10,480,0.6954051
10,495,0.6872385
10,510,0.6792672
10,525,0.6714813
10,540,0.6638722
10,555,0.6564319
10,570,0.6491534
10,585,0.6420302
10,600,0.6350565
10,615,0.6282268
10,630,0.621536
10,645,0.6149796
10,660,0.6085531
10,675,0.6022523
10,690,0.5960734
10,705,0.5900127
10,720,0.5840666
10,735,0.5782317
10,750,0.5725048
10,765,0.5668827
10,780,0.5613624
10,795,0.555941
10,810,0.5506157
10,825,0.5453837
10,840,0.5402424
10,855,0.5351893
10,870,0.5302217
10,885,0.5253373
10,900,0.5205339
10,915,0.5158089
10,930,0.5111601
10,945,0.5065856
10,960,0.502083
10,975,0.4976504
10,990,0.4932856
10,1005,0.4889868
10,1020,0.4847521
10,1035,0.4805796
10,1050,0.4764676
10,1065,0.4724141
10,1080,0.4684176
10,1095,0.4644764
10,1110,0.4605889
10,1125,0.4567534
10,1140,0.4529685
10,1155,0.4492328
10,1170,0.4455446
10,1185,0.4419028
10,1200,0.4383058
10,1215,0.4347524
10,1230,0.4312413
