"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Whole Blood (Peripheral Venous Blood) [µmol/l]"
7,225,2.171938
7,240,2.070052
7,255,1.976488
7,270,1.891958
7,285,1.815775
7,300,1.746753
7,315,1.683671
7,330,1.625462
7,345,1.571264
7,360,1.520402
7,375,1.472361
7,390,1.426745
7,405,1.38325
7,420,1.341644
7,435,1.301739
7,450,1.263387
7,465,1.22647
7,480,1.190886
7,495,1.15655
7,510,1.123391
7,525,1.091346
7,540,1.060358
7,555,1.030379
7,570,1.001362
7,585,0.9732673
7,600,0.9460573
7,615,0.9196973
7,630,0.894155
7,645,0.8694001
7,660,0.8454046
7,675,0.8221415
7,690,0.7995857
7,705,0.7777132
7,720,0.7565011
7,735,0.7359279
7,750,0.7159724
7,765,0.696615
7,780,0.6778363
7,795,0.6596181
7,810,0.6419426
7,825,0.6247928
7,840,0.6081523
7,855,0.5920052
7,870,0.5763363
7,885,0.5611306
7,900,0.546374
7,915,0.5320526
7,930,0.518153
7,945,0.5046623
7,960,0.491568
7,975,0.4788579
7,990,0.4665202
7,1005,0.4545437
7,1020,0.4429172
7,1035,0.43163
7,1050,0.4206719
7,1065,0.4100327
7,1080,0.3997027
7,1095,0.3896725
7,1110,0.3799329
7,1125,0.3704751
7,1140,0.3612905
7,1155,0.3523708
7,1170,0.3437077
7,1185,0.3352937
7,1200,0.3271209
7,1215,0.3191822
7,1230,0.3114703
7,1245,0.3039783
7,1260,0.2966995
7,1275,0.2896274
7,1290,0.2827557
7,1305,0.2760783
7,1320,0.2695893
7,1335,0.2632829
7,1350,0.2571535
7,1365,0.2511958
7,1380,0.2454046
7,1395,0.2397747
7,1410,0.2343012
7,1425,0.2289795
7,1440,0.2238047
8,0,0
8,3,7.282718E-06
8,6,0.0002938585
8,9,0.002072393
8,12,0.007978739
8,15,0.02209192
8,18,0.04923514
8,21,0.09392413
8,24,0.1594592
8,27,0.2474236
8,30,0.3576087
8,33,0.4882414
8,36,0.6363742
8,39,0.7983201
8,42,0.9700508
8,45,1.147515
8,48,1.326871
8,51,1.504643
8,54,1.677804
8,57,1.843815
8,60,2.000621
8,63,2.146623
8,66,2.280646
8,69,2.401886
8,72,2.509861
8,75,2.604365
8,78,2.685421
8,81,2.753241
8,84,2.808193
8,87,2.85077
8,90,2.881566
8,93,2.901259
8,96,2.910594
8,99,2.91037
8,102,2.901428
8,105,2.88464
8,108,2.860899
8,111,2.831111
8,114,2.796176
8,117,2.756981
8,120,2.714382
8,135,2.476738
8,150,2.247837
8,165,2.060475
8,180,1.917098
8,195,1.808098
8,210,1.722655
8,225,1.652474
8,240,1.592096
8,255,1.538195
8,270,1.488813
8,285,1.442802
8,300,1.399477
8,315,1.358411
8,330,1.319319
8,345,1.282
8,360,1.246299
