"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
7,135,0.8636575
7,150,0.8037228
7,165,0.7546741
7,180,0.7156671
7,195,0.6844577
7,210,0.6588795
7,225,0.6372535
7,240,0.6183974
7,255,0.6015142
7,270,0.5860757
7,285,0.5717329
7,300,0.5582529
7,315,0.5454773
7,330,0.5332961
7,345,0.5216301
7,360,0.5104209
7,375,0.4996238
7,390,0.4892037
7,405,0.4791322
7,420,0.4693857
7,435,0.4599442
7,450,0.4507907
7,465,0.4419102
7,480,0.4332894
7,495,0.4249165
7,510,0.4167807
7,525,0.4088724
7,540,0.4011826
7,555,0.393703
7,570,0.386426
7,585,0.3793444
7,600,0.3724516
7,615,0.3657412
7,630,0.3592071
7,645,0.3528437
7,660,0.3466457
7,675,0.3406077
7,690,0.3347249
7,705,0.3289925
7,720,0.3234059
7,735,0.3179606
7,750,0.3126526
7,765,0.3074776
7,780,0.3024316
7,795,0.2975109
7,810,0.2927116
7,825,0.2880303
7,840,0.2834634
7,855,0.2790076
7,870,0.2746594
7,885,0.2704158
7,900,0.2662736
7,915,0.2622299
7,930,0.2582817
7,945,0.2544261
7,960,0.2506605
7,975,0.2469821
7,990,0.2433884
7,1005,0.2398767
7,1020,0.2364448
7,1035,0.2330901
7,1050,0.2298103
7,1065,0.2266033
7,1080,0.2234669
7,1095,0.2203988
7,1110,0.2173971
7,1125,0.2144598
7,1140,0.2115849
7,1155,0.2087705
7,1170,0.2060149
7,1185,0.2033162
7,1200,0.2006727
7,1215,0.1980828
7,1230,0.1955449
7,1245,0.1930574
7,1260,0.1906187
7,1275,0.1882275
7,1290,0.1858822
7,1305,0.1835815
7,1320,0.1813241
7,1335,0.1791086
7,1350,0.1769339
7,1365,0.1747986
7,1380,0.1727016
7,1395,0.1706419
7,1410,0.1686182
7,1425,0.1666295
7,1440,0.1646747
8,0,0
8,3,5.300527E-08
8,6,7.082491E-06
8,9,0.0001242688
8,12,0.0008197672
8,15,0.003138012
8,18,0.008589036
8,21,0.01881558
8,24,0.03525693
8,27,0.05892256
8,30,0.09028447
8,33,0.1292647
8,36,0.1752878
8,39,0.2273705
8,42,0.2842335
8,45,0.3444152
8,48,0.4063803
8,51,0.4686124
8,54,0.5296876
8,57,0.5883292
8,60,0.6434423
8,63,0.6941352
8,66,0.739727
8,69,0.7797428
8,72,0.8139047
8,75,0.8421143
8,78,0.8644334
8,81,0.8810605
8,84,0.8923075
8,87,0.8985748
8,90,0.9003277
8,93,0.8980734
8,96,0.8923402
8,99,0.8836589
8,102,0.8725474
8,105,0.8594976
8,108,0.8449659
8,111,0.8293664
8,114,0.813067
8,117,0.7963871
8,120,0.7795988
8,135,0.7005081
8,150,0.6373273
8,165,0.5908012
8,180,0.5568157
8,195,0.5310508
8,210,0.5103574
8,225,0.4927617
8,240,0.4771182
8,255,0.462785
8,270,0.4494032
8,285,0.4367662
8,300,0.424748
8,315,0.4132657
8,330,0.4022602
8,345,0.3916864
8,360,0.3815082
8,375,0.3716954
8,390,0.3622226
8,405,0.3530677
8,420,0.3442115
8,435,0.3356372
8,450,0.3273296
8,465,0.3192756
8,480,0.3114632
8,495,0.3038815
8,510,0.2965207
8,525,0.2893718
8,540,0.2824267
8,555,0.2756775
8,570,0.2691174
8,585,0.2627397
8,600,0.2565381
8,615,0.250507
8,630,0.2446407
8,645,0.238934
8,660,0.2333821
8,675,0.2279802
8,690,0.2227237
8,705,0.2176083
8,720,0.2126299
8,735,0.2077844
8,750,0.2030681
8,765,0.1984772
8,780,0.194008
8,795,0.1896573
8,810,0.1854215
8,825,0.1812974
8,840,0.177282
8,855,0.1733721
8,870,0.1695647
8,885,0.1658571
8,900,0.1622464
8,915,0.1587299
8,930,0.1553049
8,945,0.151969
8,960,0.1487196
8,975,0.1455543
8,990,0.1424709
8,1005,0.1394669
8,1020,0.1365402
8,1035,0.1336886
8,1050,0.13091
8,1065,0.1282025
8,1080,0.1255639
8,1095,0.1229924
8,1110,0.1204862
8,1125,0.1180433
8,1140,0.1156621
8,1155,0.1133408
8,1170,0.1110777
8,1185,0.1088712
8,1200,0.1067198
8,1215,0.1046218
8,1230,0.1025758
8,1245,0.1005804
8,1260,0.09863412
8,1275,0.09673558
8,1290,0.09488348
8,1305,0.0930765
8,1320,0.09131339
8,1335,0.08959293
8,1350,0.08791394
8,1365,0.08627524
8,1380,0.08467573
8,1395,0.0831143
8,1410,0.08158991
8,1425,0.08010151
8,1440,0.07864811
9,0,0
9,3,3.07727E-08
9,6,6.241568E-06
9,9,0.0001186119
9,12,0.0007909486
9,15,0.003007566
9,18,0.008129849
9,21,0.01755276
9,24,0.03239708
9,27,0.05333081
9,30,0.08051105
9,33,0.113614
9,36,0.1519175
9,39,0.1944081
9,42,0.2398952
9,45,0.2871177
9,48,0.3348331
9,51,0.3818875
9,54,0.4272646
9,57,0.470113
9,60,0.5097597
9,63,0.5457096
9,66,0.577638
9,69,0.6053737
9,72,0.6288808
9,75,0.6482369
9,78,0.6636122
9,81,0.675248
9,84,0.6834373
9,87,0.688507
9,90,0.6908022
9,93,0.6906733
9,96,0.6884649
9,99,0.6845075
9,102,0.6791109
9,105,0.6725602
9,108,0.6651128
9,111,0.6569976
9,114,0.6484145
9,117,0.6395355
9,120,0.6305062
9,135,0.5866122
9,150,0.5494093
9,165,0.5202045
9,180,0.4976393
9,195,0.4798923
9,210,0.4654438
9,225,0.4532106
9,240,0.4424744
9,255,0.4327749
9,270,0.42382
9,285,0.4154231
9,300,0.4074631
9,315,0.3998591
9,330,0.3925553
9,345,0.3855115
9,360,0.3786979
9,375,0.3720915
9,390,0.365674
9,405,0.3594304
9,420,0.3533484
9,435,0.3474176
9,450,0.3416289
9,465,0.3359746
9,480,0.330448
9,495,0.325043
9,510,0.3197545
9,525,0.3145777
9,540,0.3095084
9,555,0.3045428
9,570,0.2996773
9,585,0.2949088
9,600,0.2902343
9,615,0.2856512
9,630,0.2811568
9,645,0.2767489
9,660,0.2724251
9,675,0.2681834
9,690,0.2640218
9,705,0.2599383
9,720,0.2559311
9,735,0.2519986
9,750,0.2481389
9,765,0.2443506
9,780,0.240632
9,795,0.2369816
9,810,0.2333979
9,825,0.2298796
9,840,0.2264253
9,855,0.2230335
9,870,0.219703
9,885,0.2164325
9,900,0.2132207
9,915,0.2100665
9,930,0.2069687
9,945,0.203926
9,960,0.2009374
9,975,0.1980016
9,990,0.1951178
9,1005,0.1922847
9,1020,0.1895013
9,1035,0.1867666
9,1050,0.1840796
9,1065,0.1814394
9,1080,0.178845
9,1095,0.1762954
9,1110,0.1737897
9,1125,0.171327
9,1140,0.1689065
9,1155,0.1665273
9,1170,0.1641885
9,1185,0.1618893
9,1200,0.1596289
9,1215,0.1574066
9,1230,0.1552214
9,1245,0.1530728
9,1260,0.15096
9,1275,0.1488821
9,1290,0.1468386
9,1305,0.1448287
9,1320,0.1428517
9,1335,0.140907
9,1350,0.1389939
9,1365,0.1371119
9,1380,0.1352602
9,1395,0.1334382
9,1410,0.1316454
9,1425,0.1298812
9,1440,0.1281451
10,0,0
10,3,2.451882E-07
10,6,1.293572E-05
10,9,0.000109419
10,12,0.0004896786
10,15,0.001560752
10,18,0.003973135
10,21,0.008586214
10,24,0.01637779
10,27,0.02832981
10,30,0.04532095
10,33,0.06804365
10,36,0.09695159
10,39,0.1322395
10,42,0.1738472
10,45,0.2214821
10,48,0.2746546
10,51,0.332719
10,54,0.3949174
10,57,0.4604201
10,60,0.5283641
10,63,0.5978839
10,66,0.668139
10,69,0.7383329
10,72,0.8077292
10,75,0.8756605
10,78,0.9415354
10,81,1.00484
10,84,1.06514
10,87,1.122076
10,90,1.175363
10,93,1.224785
10,96,1.270188
10,99,1.311479
10,102,1.34862
10,105,1.381618
10,108,1.410524
10,111,1.435429
10,114,1.456454
10,117,1.47375
10,120,1.487491
10,135,1.510038
10,150,1.476149
10,165,1.412053
10,180,1.337511
10,195,1.264489
10,210,1.198607
10,225,1.14145
10,240,1.092519
10,255,1.05051
10,270,1.013994
10,285,0.9817175
10,300,0.95268
10,315,0.9261287
10,330,0.9015135
10,345,0.8784377
10,360,0.8566166
10,375,0.8358446
10,390,0.8159714
10,405,0.7968851
10,420,0.7785008
10,435,0.7607524
10,450,0.7435872
10,465,0.7269625
10,480,0.7108427
10,495,0.6951976
10,510,0.6800016
10,525,0.6652319
10,540,0.6508689
10,555,0.6368947
10,570,0.6232933
10,585,0.6100504
10,600,0.5971527
10,615,0.5845879
10,630,0.5723447
10,645,0.5604125
10,660,0.5487815
10,675,0.5374422
