"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Acebutolol|Plasma (Peripheral Venous Blood) [µmol/l]"
60,1845,0.01853022
60,1860,0.01817062
60,1875,0.01781875
60,1890,0.01747434
60,1905,0.01713717
60,1920,0.016807
61,0,0
61,3,1.298138E-06
61,6,5.126806E-05
61,9,0.0003418604
61,12,0.001223729
61,15,0.003198173
61,18,0.006908386
61,21,0.01311227
61,24,0.02261697
61,27,0.03617245
61,30,0.05434294
61,33,0.07738958
61,36,0.1051996
61,39,0.1372843
61,42,0.1728503
61,45,0.2109249
61,48,0.2504975
61,51,0.2906411
61,54,0.3305875
61,57,0.3697475
61,60,0.4076982
61,63,0.444165
61,66,0.4789834
61,69,0.5120529
61,72,0.5433311
61,75,0.5728166
61,78,0.6005123
61,81,0.6264443
61,84,0.6506602
61,87,0.6731948
61,90,0.6940945
61,93,0.7134259
61,96,0.7312422
61,99,0.747601
61,102,0.7625741
61,105,0.7762254
61,108,0.788622
61,111,0.7998356
61,114,0.8099344
61,117,0.8189874
61,120,0.8270633
61,135,0.8550643
61,150,0.8677639
61,165,0.8710203
61,180,0.8688977
61,195,0.8638871
61,210,0.8571987
61,225,0.8489293
61,240,0.8378458
61,255,0.8200064
61,270,0.7831503
61,285,0.7007347
61,300,0.6111588
61,315,0.5589638
61,330,0.5227081
61,345,0.4922393
61,360,0.4649751
61,375,0.4400395
61,390,0.4169912
61,405,0.3955486
61,420,0.3755106
61,435,0.3567246
61,450,0.3390702
61,465,0.322449
61,480,0.3067789
61,495,0.2919898
61,510,0.2780207
61,525,0.2648174
61,540,0.2523319
61,555,0.2405201
61,570,0.2293423
61,585,0.2187617
61,600,0.2087441
61,615,0.199258
61,630,0.1902738
61,645,0.1817639
61,660,0.1737024
61,675,0.1660647
61,690,0.158828
61,705,0.1519705
61,720,0.1454717
61,735,0.1393124
61,750,0.1334741
61,765,0.1279397
61,780,0.1226928
61,795,0.1177178
61,810,0.1130002
61,825,0.108526
61,840,0.1042821
61,855,0.1002561
61,870,0.09643621
61,885,0.09281126
61,900,0.08937072
61,915,0.08610459
61,930,0.08300341
61,945,0.08005822
61,960,0.07726055
61,975,0.07460238
61,990,0.0720761
61,1005,0.06967455
61,1020,0.06739091
61,1035,0.06521875
61,1050,0.06315199
61,1065,0.06118485
61,1080,0.0593119
61,1095,0.05752799
61,1110,0.05582823
61,1125,0.05420802
61,1140,0.052663
61,1155,0.05118905
61,1170,0.04978228
61,1185,0.048439
61,1200,0.04715573
61,1215,0.04592918
61,1230,0.04475625
61,1245,0.04363399
61,1260,0.04255964
61,1275,0.04153058
61,1290,0.04054431
61,1305,0.03959852
61,1320,0.03869099
61,1335,0.03781964
61,1350,0.0369825
61,1365,0.03617771
61,1380,0.03540352
61,1395,0.03465828
61,1410,0.03394042
61,1425,0.03324847
61,1440,0.03258105
61,1455,0.03193683
61,1470,0.0313146
61,1485,0.03071318
61,1500,0.03013147
61,1515,0.02956844
61,1530,0.02902311
61,1545,0.02849457
61,1560,0.02798194
61,1575,0.02748441
61,1590,0.02700121
61,1605,0.02653162
61,1620,0.02607496
61,1635,0.02563057
61,1650,0.02519786
61,1665,0.02477626
61,1680,0.02436523
61,1695,0.02396427
61,1710,0.0235729
61,1725,0.02319068
61,1740,0.02281718
61,1755,0.02245202
61,1770,0.02209481
61,1785,0.02174521
61,1800,0.0214029
61,1815,0.02106756
61,1830,0.02073889
61,1845,0.02041664
61,1860,0.02010054
61,1875,0.01979034
61,1890,0.01948583
61,1905,0.01918679
61,1920,0.01889301
62,0,0
62,3,1.293105E-06
62,6,5.544234E-05
62,9,0.0003772311
62,12,0.001337381
62,15,0.003407006
62,18,0.007099342
62,21,0.01291317
62,24,0.02128821
62,27,0.0325759
62,30,0.04702331
62,33,0.064767
62,36,0.08583269
62,39,0.1101394
62,42,0.1375072
62,45,0.167668
62,48,0.2002792
62,51,0.234941
62,54,0.2712146
62,57,0.3086426
62,60,0.346769
62,63,0.3851572
62,66,0.4234065
62,69,0.4611628
62,72,0.4981255
62,75,0.53405
62,78,0.5687466
62,81,0.6020762
62,84,0.6339446
62,87,0.6642945
62,90,0.6930991
62,93,0.7203532
62,96,0.7460696
62,99,0.7702752
62,102,0.7930114
62,105,0.8143288
62,108,0.8342814
62,111,0.8529198
62,114,0.8702919
62,117,0.8864527
62,120,0.9014644
62,135,0.9611922
62,150,0.9998683
62,165,1.022805
62,180,1.034269
62,195,1.037478
62,210,1.03477
62,225,1.027665
62,240,1.016905
