"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Gabapentin|Plasma (Peripheral Venous Blood) [µmol/l]"
1,5070,0.1296936
1,5085,0.1278326
1,5100,0.1259985
1,5115,0.1241906
1,5130,0.1224088
1,5145,0.1206526
1,5160,0.1189217
1,5175,0.1172156
1,5190,0.1155341
1,5205,0.1138768
1,5220,0.1122433
1,5235,0.1106333
1,5250,0.1090466
1,5265,0.1074826
1,5280,0.1059412
1,5295,0.104422
1,5310,0.1029246
1,5325,0.1014488
1,5340,0.09999434
1,5355,0.09856078
1,5370,0.09714789
1,5385,0.09575536
1,5400,0.0943829
1,5415,0.09303023
1,5430,0.09169707
1,5445,0.09038313
1,5460,0.08908814
1,5475,0.08781183
1,5490,0.08655393
1,5505,0.08531418
1,5520,0.08409233
1,5535,0.0828881
1,5550,0.08170126
1,5565,0.08053155
1,5580,0.07937872
1,5595,0.07824255
1,5610,0.07712277
1,5625,0.07601917
1,5640,0.0749315
1,5655,0.07385955
1,5670,0.07280308
1,5685,0.07176188
1,5700,0.07073572
1,5715,0.06972438
1,5730,0.06872766
1,5745,0.06774534
1,5760,0.06677722
1,5775,0.0658231
1,5790,0.06488276
1,5805,0.06395602
1,5820,0.06304268
1,5835,0.06214254
1,5850,0.06125542
1,5865,0.06038113
1,5880,0.05951947
1,5895,0.05867028
1,5910,0.05783337
1,5925,0.05700857
1,5940,0.05619569
1,5955,0.05539457
1,5970,0.05460504
1,5985,0.05382693
1,6000,0.05306007
2,0,0
2,3,0.001424953
2,6,0.0297631
2,9,0.1320141
2,12,0.3379205
2,15,0.6578315
2,18,1.089504
2,21,1.623338
2,24,2.245794
2,27,2.941603
2,30,3.695209
2,33,4.491674
2,36,5.317227
2,39,6.159549
2,42,7.007865
2,45,7.852896
2,48,8.686741
2,51,9.502707
2,54,10.29514
2,57,11.05927
2,60,11.79109
2,63,12.48722
2,66,13.14493
2,69,13.76203
2,72,14.33694
2,75,14.86865
2,78,15.35676
2,81,15.80149
2,84,16.20357
2,87,16.56427
2,90,16.88524
2,93,17.16848
2,96,17.4162
2,99,17.63075
2,102,17.81455
2,105,17.97003
2,108,18.09955
2,111,18.20541
2,114,18.28979
2,117,18.35471
2,120,18.40208
2,135,18.43124
2,150,18.22442
2,165,17.88484
2,180,17.47729
2,195,17.04186
2,210,16.60202
2,225,16.16986
2,240,15.75031
2,255,15.34436
2,270,14.95132
2,285,14.57009
2,300,14.19963
2,315,13.83915
2,330,13.48809
2,345,13.14603
2,360,12.81268
2,375,12.48779
2,390,12.17118
2,405,11.86265
2,420,11.56204
2,435,11.26918
2,450,10.98391
2,465,10.70606
2,480,10.43546
2,495,10.17195
2,510,9.915359
2,525,9.665521
2,540,9.422273
2,555,9.185451
2,570,8.954895
2,585,8.730446
2,600,8.511947
2,615,8.299245
2,630,8.092189
2,645,7.890632
2,660,7.694429
2,675,7.503439
2,690,7.317524
2,705,7.136548
2,720,6.960379
2,735,6.78889
2,750,6.621954
2,765,6.459449
2,780,6.301256
2,795,6.147259
2,810,5.997344
2,825,5.8514
2,840,5.709321
2,855,5.571001
2,870,5.436339
2,885,5.305235
2,900,5.177593
2,915,5.053318
2,930,4.932319
2,945,4.814507
2,960,4.699794
2,975,4.588098
2,990,4.479333
2,1005,4.373423
2,1020,4.270288
2,1035,4.169852
2,1050,4.072042
2,1065,3.976787
2,1080,3.884016
2,1095,3.793662
2,1110,3.705658
2,1125,3.619941
2,1140,3.536447
2,1155,3.455117
2,1170,3.37589
2,1185,3.29871
2,1200,3.223521
2,1215,3.150267
2,1230,3.078897
2,1245,3.009359
2,1260,2.941602
2,1275,2.875578
2,1290,2.81124
2,1305,2.748541
2,1320,2.687438
2,1335,2.627885
2,1350,2.569842
2,1365,2.513266
2,1380,2.458118
2,1395,2.404359
2,1410,2.351951
2,1425,2.300857
2,1440,2.251042
2,1455,2.20247
2,1470,2.155108
2,1485,2.108922
2,1500,2.063882
2,1515,2.019956
2,1530,1.977113
2,1545,1.935325
2,1560,1.894562
2,1575,1.854797
2,1590,1.816004
2,1605,1.778155
2,1620,1.741225
2,1635,1.70519
2,1650,1.670025
2,1665,1.635707
2,1680,1.602213
2,1695,1.569521
2,1710,1.53761
2,1725,1.506458
2,1740,1.476046
2,1755,1.446353
2,1770,1.417361
2,1785,1.38905
2,1800,1.361403
2,1815,1.334402
2,1830,1.308029
2,1845,1.282269
2,1860,1.257105
2,1875,1.23252
2,1890,1.208501
2,1905,1.185032
2,1920,1.162099
2,1935,1.139687
2,1950,1.117783
2,1965,1.096373
2,1980,1.075446
2,1995,1.054988
2,2010,1.034986
2,2025,1.015431
2,2040,0.9963083
2,2055,0.9776087
2,2070,0.9593208
2,2085,0.941434
2,2100,0.9239381
2,2115,0.906823
2,2130,0.8900791
2,2145,0.873697
2,2160,0.8576674
2,2175,0.8419816
2,2190,0.8266307
2,2205,0.8116063
2,2220,0.7969004
2,2235,0.7825049
2,2250,0.7684121
2,2265,0.7546145
2,2280,0.7411047
2,2295,0.7278756
2,2310,0.7149204
2,2325,0.7022323
2,2340,0.6898047
2,2355,0.6776314
2,2370,0.665706
2,2385,0.6540228
2,2400,0.6425756
2,2415,0.6313589
2,2430,0.6203672
2,2445,0.6095951
2,2460,0.5990372
2,2475,0.5886887
2,2490,0.5785444
2,2505,0.5685996
2,2520,0.5588496
2,2535,0.5492899
2,2550,0.539916
2,2565,0.5307235
2,2580,0.5217084
2,2595,0.5128664
2,2610,0.5041937
2,2625,0.4956864
2,2640,0.4873407
2,2655,0.4791529
2,2670,0.4711194
2,2685,0.4632369
2,2700,0.4555019
2,2715,0.4479111
2,2730,0.4404613
2,2745,0.4331494
2,2760,0.4259724
2,2775,0.4189272
2,2790,0.4120111
2,2805,0.4052213
2,2820,0.3985549
2,2835,0.3920093
2,2850,0.3855819
2,2865,0.3792703
2,2880,0.3730718
2,2895,0.3669842
2,2910,0.3610051
2,2925,0.3551323
2,2940,0.3493634
2,2955,0.3436963
2,2970,0.338129
2,2985,0.3326593
2,3000,0.3272853
2,3015,0.3220049
2,3030,0.3168164
2,3045,0.3117178
2,3060,0.3067073
2,3075,0.3017831
2,3090,0.2969436
2,3105,0.292187
2,3120,0.2875116
2,3135,0.282916
2,3150,0.2783985
2,3165,0.2739576
2,3180,0.2695917
2,3195,0.2652995
2,3210,0.2610795
2,3225,0.2569303
2,3240,0.2528505
2,3255,0.248839
2,3270,0.2448942
2,3285,0.2410151
2,3300,0.2372003
2,3315,0.2334486
2,3330,0.2297589
2,3345,0.2261301
2,3360,0.2225609
2,3375,0.2190503
2,3390,0.2155972
2,3405,0.2122006
2,3420,0.2088594
2,3435,0.2055726
2,3450,0.2023392
2,3465,0.1991583
2,3480,0.196029
2,3495,0.1929503
2,3510,0.1899213
2,3525,0.1869411
2,3540,0.1840089
2,3555,0.1811237
2,3570,0.1782849
2,3585,0.1754916
2,3600,0.172743
2,3615,0.1700383
2,3630,0.1673767
2,3645,0.1647576
2,3660,0.1621801
2,3675,0.1596436
2,3690,0.1571474
2,3705,0.1546908
2,3720,0.152273
2,3735,0.1498935
2,3750,0.1475517
2,3765,0.1452468
2,3780,0.1429782
2,3795,0.1407454
2,3810,0.1385478
2,3825,0.1363847
2,3840,0.1342556
2,3855,0.1321599
2,3870,0.1300971
2,3885,0.1280667
2,3900,0.126068
2,3915,0.1241007
2,3930,0.1221641
2,3945,0.1202578
2,3960,0.1183813
2,3975,0.116534
2,3990,0.1147156
2,4005,0.1129256
2,4020,0.1111634
2,4035,0.1094287
2,4050,0.107721
2,4065,0.1060399
2,4080,0.104385
2,4095,0.1027558
2,4110,0.1011519
2,4125,0.09957291
2,4140,0.09801847
2,4155,0.09648818
2,4170,0.09498163
2,4185,0.09349848
2,4200,0.09203833
2,4215,0.09060083
2,4230,0.08918563
2,4245,0.08779237
2,4260,0.08642072
2,4275,0.08507033
2,4290,0.08374086
2,4305,0.082432
2,4320,0.08114342
2,4335,0.07987481
2,4350,0.07862584
2,4365,0.07739623
2,4380,0.07618567
2,4395,0.07499386
2,4410,0.07382051
2,4425,0.07266533
2,4440,0.07152805
2,4455,0.07040839
2,4470,0.06930607
2,4485,0.06822082
2,4500,0.0671524
2,4515,0.06610053
2,4530,0.06506496
2,4545,0.06404543
2,4560,0.06304171
2,4575,0.06205355
2,4590,0.0610807
2,4605,0.06012294
2,4620,0.05918004
2,4635,0.05825175
2,4650,0.05733787
2,4665,0.05643817
2,4680,0.05555242
2,4695,0.05468043
2,4710,0.05382197
2,4725,0.05297685
2,4740,0.05214484
2,4755,0.05132577
2,4770,0.05051942
2,4785,0.0497256
2,4800,0.04894412
2,4815,0.04817479
2,4830,0.04741744
2,4845,0.04667186
2,4860,0.04593788
2,4875,0.04521533
2,4890,0.04450403
2,4905,0.04380381
2,4920,0.04311449
2,4935,0.04243592
2,4950,0.04176793
2,4965,0.04111035
2,4980,0.04046303
2,4995,0.0398258
2,5010,0.03919853
2,5025,0.03858104
2,5040,0.0379732
2,5055,0.03737485
2,5070,0.03678585
2,5085,0.03620606
2,5100,0.03563533
2,5115,0.03507353
2,5130,0.03452052
2,5145,0.03397617
2,5160,0.03344034
2,5175,0.0329129
2,5190,0.03239372
2,5205,0.03188268
2,5220,0.03137965
2,5235,0.03088451
2,5250,0.03039714
2,5265,0.02991741
2,5280,0.02944522
2,5295,0.02898043
2,5310,0.02852296
2,5325,0.02807266
2,5340,0.02762945
2,5355,0.0271932
2,5370,0.02676382
2,5385,0.02634119
2,5400,0.02592521
2,5415,0.02551578
2,5430,0.0251128
2,5445,0.02471616
2,5460,0.02432578
2,5475,0.02394155
2,5490,0.02356338
2,5505,0.02319117
2,5520,0.02282484
2,5535,0.02246429
2,5550,0.02210943
2,5565,0.02176017
2,5580,0.02141644
2,5595,0.02107813
2,5610,0.02074517
2,5625,0.02041747
2,5640,0.02009496
2,5655,0.01977755
2,5670,0.01946516
2,5685,0.01915772
2,5700,0.01885515
2,5715,0.01855736
2,5730,0.0182643
2,5745,0.01797588
2,5760,0.01769203
2,5775,0.01741268
2,5790,0.01713776
2,5805,0.0168672
2,5820,0.01660093
2,5835,0.01633889
2,5850,0.01608101
2,5865,0.01582723
2,5880,0.01557747
2,5895,0.01533168
2,5910,0.0150898
2,5925,0.01485176
2,5940,0.01461751
2,5955,0.01438698
2,5970,0.01416012
2,5985,0.01393686
2,6000,0.01371716
3,0,0
3,3,0.001041321
3,6,0.02465878
3,9,0.1145838
3,12,0.2988801
3,15,0.5865303
3,18,0.9745375
3,21,1.45331
3,24,2.010175
3,27,2.631571
3,30,3.304273
3,33,4.01601
3,36,4.755762
3,39,5.51381
3,42,6.281697
3,45,7.052135
3,48,7.818879
3,51,8.576597
3,54,9.320762
3,57,10.04754
3,60,10.75369
3,63,11.43648
3,66,12.09363
3,69,12.72323
3,72,13.3237
3,75,13.89378
3,78,14.43247
3,81,14.93906
3,84,15.41306
3,87,15.85427
3,90,16.26272
3,93,16.63867
3,96,16.98262
3,99,17.29528
3,102,17.57757
3,105,17.83058
3,108,18.05556
3,111,18.25386
3,114,18.42695
3,117,18.57636
3,120,18.70363
3,135,19.06206
3,150,19.08434
3,165,18.90594
3,180,18.61683
3,195,18.27303
3,210,17.90764
3,225,17.53889
3,240,17.17558
3,255,16.82106
3,270,16.47584
3,285,16.1394
3,300,15.81096
3,315,15.48984
3,330,15.17556
3,345,14.8678
3,360,14.56633
3,375,14.271
3,390,13.98169
3,405,13.69831
3,420,13.42077
3,435,13.149
3,450,12.88291
3,465,12.6224
3,480,12.36738
3,495,12.11778
3,510,11.87348
3,525,11.63439
3,540,11.40042
